pair,category,metric_a,metric_b,metric_c,mi,network
"('BirthAsphyxia', 'XrayReport')",no_edge,1.7133041196911547,0.7762490227173319,0.5633082640392446,0.003231990656226681,child
"('CO2', 'CO2Report')",mec_edge,0.2693482220777297,0.24710883416974738,0.024889840284232023,0.2192612249473123,child
"('CO2', 'CardiacMixing')",no_edge,0.4574457101838094,0.2956137292981184,0.03880609452663837,0.008588060985523612,child
"('CO2', 'ChestXray')",no_edge,1.0805971453177377,0.4978344175669468,3.375217634899174e-05,0.025562427523339763,child
"('CO2', 'Disease')",no_edge,1.1057918074279733,0.5035963033814361,0.5029422567145571,0.019976939018253682,child
"('CO2', 'DuctFlow')",no_edge,0.2693448370564968,0.19814336745150338,0.13884273276638556,0.00863797817016217,child
"('CO2', 'Grunting')",no_edge,0.32080552226242776,0.294317437813301,2.467338770416559e-09,0.02922898363928491,child
"('CO2', 'GruntingReport')",no_edge,0.24997231478231785,0.22933274555918803,5.98079589493787e-06,0.012927247720562376,child
"('CO2', 'HypDistrib')",no_edge,0.6178408240287736,0.5668273009211359,0.24003462940607612,0.00028900825841324945,child
"('CO2', 'HypoxiaInO2')",no_edge,0.2919029816911114,0.2112328677281503,0.09097029082310046,0.005470138015570114,child
"('CO2', 'LVH')",no_edge,0.2225723768354546,0.20419514980992473,0.08002969033447954,0.0009023184906186837,child
"('CO2', 'LVHreport')",no_edge,0.19798259540409302,0.18163568320153098,0.02351767375099678,0.0006692652593757453,child
"('CO2', 'LowerBodyO2')",no_edge,0.35857257581842306,0.24753539427320886,0.6183213947515874,0.002909624177145284,child
"('CO2', 'LungFlow')",no_edge,0.40551145027281366,0.2711526528156802,0.12802359815219233,0.0039523353974217565,child
"('CO2', 'LungParench')",mec_edge,0.04428182148869142,0.0390395799141418,3.504613719559141e-18,0.0664657756770245,child
"('CO2', 'RUQO2')",no_edge,0.3870376673275855,0.2620367155511934,0.02177240334758157,0.0014971228576042966,child
"('CO2', 'Sick')",no_edge,0.17816647202397073,0.1634557260128303,0.002682350134567123,0.004619649447318325,child
"('CO2', 'XrayReport')",no_edge,1.1171594921152337,0.5061529672444633,0.0975770196614087,0.015491281329073493,child
"('CO2Report', 'CardiacMixing')",no_edge,0.7267939322615397,0.46967379945643645,0.8406305438526556,0.0025348152213807637,child
"('CO2Report', 'ChestXray')",no_edge,1.349945367395467,0.6219239692021507,0.042799435096687495,0.009954857790053631,child
"('CO2Report', 'Disease')",no_edge,1.375140029505703,0.6262620421304024,0.26204776612546044,0.003911466714761017,child
"('CO2Report', 'DuctFlow')",no_edge,0.538693059134227,0.3962892250918419,0.28837059396117964,0.0012570772487710824,child
"('CO2Report', 'Grunting')",no_edge,0.05145730018469796,0.06270309147736408,0.0,0.01067846471627279,child
"('CO2Report', 'GruntingReport')",no_edge,0.01937590729541161,0.02306584133181771,0.0,0.0033803263416004314,child
"('CO2Report', 'HypDistrib')",no_edge,0.34849260195104403,0.4246542943545076,0.0,3.7521479698571225e-05,child
"('CO2Report', 'HypoxiaInO2')",no_edge,0.5612512037688414,0.40614419421526204,0.17516424491848767,0.000923764297561705,child
"('CO2Report', 'LVH')",no_edge,0.04677584524227463,0.05392488415919161,0.0,1.2391855449239708e-05,child
"('CO2Report', 'LVHreport')",no_edge,0.071365626673637,0.08000489467130549,0.0,1.3300143811290077e-07,child
"('CO2Report', 'LowerBodyO2')",no_edge,0.627920797896153,0.43347604574835485,0.2218579636471394,0.00024985174107916563,child
"('CO2Report', 'LungFlow')",no_edge,0.6748596723505433,0.4512572710661106,0.11237670262205413,0.00010403862563693189,child
"('CO2Report', 'LungParench')",no_edge,0.3136300435664212,0.2765013890048289,2.3674845980835498e-11,0.024897537126754785,child
"('CO2Report', 'RUQO2')",no_edge,0.6563858894053155,0.44439396243141566,0.23420241913318374,0.00017638856658488966,child
"('CO2Report', 'Sick')",no_edge,0.09118175005375884,0.09999842298627713,0.0,6.225885300784051e-05,child
"('CO2Report', 'XrayReport')",no_edge,1.3865077141929636,0.628186931766873,0.03059455349609985,0.005270365834243465,child
"('CardiacMixing', 'ChestXray')",no_edge,0.623151435133928,0.28708777652257017,5.847224046473448e-10,0.1228070648590347,child
"('CardiacMixing', 'Disease')",pc_solved,0.6483460972441635,0.29526778521119484,2.072129088630208e-61,0.5679286983499058,child
"('CardiacMixing', 'DuctFlow')",no_edge,0.1881008731273126,0.1215558466316234,3.431205369510857e-29,0.22322936463850318,child
"('CardiacMixing', 'Grunting')",no_edge,0.7782512324462376,0.5029268917219625,0.06802423143431774,0.009545531235301802,child
